seller,quantity_sold,seller_sales
"Harvey-ellis Motors Inc.",2,33500
"Nationwide Auto Sales Inc",4,33500
"Soeby Motor Company",1,33500
"M & G Cars Unlimited Llc",2,33500
"Sondos Trade Company",2,33500
"East Lawn One Llc",2,33500
"Motorvest Leasing",2,33500
"Covington Capital Corporation",7,33450
"Odenton Cars Llc",2,33400
"Primeritus Remarketing/Truck Division Of Lowes",5,33400
"Premier Nissan Of Newport",8,33400
"Merchants Automotive Group/Gdp",2,33400
"Onemain Rem/Manheim San Francisco Bay",4,33300
"Hatfield Volkswagen",11,33300
"Cars On Brand",2,33300
"Fort Bragg Federal Credit Union",2,33300
"Beford Auto",3,33300
"Jimmy's Auto Sales Inc",2,33300
"Nu Image Auto Llc",1,33300
"Auto World Sales & Service Llc",1,33250
"Classic Auto Sales",1,33250
"Toyota Of Naperville Inc",8,33250
"Atta Group",1,33250
"Onemain Rem/Navi Exchange Llc",3,33200
"Tomlinson Auto Sales Leasing Account",3,33200
"Scott Evans Nissan",3,33200
"Remarketing By Ge/Motorsource Inc",4,33200
"Auto Lux",3,33200
"James Wood Motors Inc",4,33200
"Texas E Cars",2,33200
"Roling Ford Llc",1,33200
"Minas Van Rental",3,33200
"Hertz Car Exchange Inc/Jackson",3,33200
"Royal Auto Trading",1,33200
"Ken Garff Motors",2,33100
"Nissan South",2,33100
"Spectrum Auto Sales Inc",1,33100
"Witham Chevrolet",2,33100
"Metro American Brokerage",2,33100
"Alaska Sales And Service Inc",2,33100
"Bill Black Chevrolet Cadillac Inc",3,33100
"Bob Hook Chevrolet Inc.",2,33100
"Faines Auto Sales Inc",2,33000
"San Marcos Chrysler Dodge Jeep",1,33000
"The Luxury Haus Inc",3,33000
"Velocity Credit Union",3,33000
"Dale Earnhardt Jr. Buick Gmc Cadillac",3,33000
"Ars/Spallco Enterprises Inc",2,33000
"Don Davis Buick Gmc",1,33000
"Envision Credit Union",10,33000
"Sonic Momentum Jvp Lp",2,32950
"Mungenast Hyundai",3,32900
"Onemain Rem/International Automart Export",3,32900
"Glenview Mitsubishi",3,32900
"Allstate Auto Llc",3,32900
"Evolve Federal Credit Union",2,32900
"Bening Ford",3,32900
"Lee Hyundai Of Goldsboro",6,32900
"Palm Chevrolet Of Gainesville",2,32900
"San Antonio Federal Credit Union",3,32900
"Enterprise Vehicle Exchange/Linthicum Heights",3,32900
"Koons Ford Of Baltimore Inc",1,32900
"Tropical Chevrolet",3,32800
"Massive Auto Brokers Inc",2,32800
"Stevens Point Honda",3,32800
"Royalcarriage Llc",1,32750
"Stoney Ledge Auto Sales Llc",1,32750
"Toyota Of North Miami",6,32700
"Safe Federal Credit Union",3,32700
"International Motors Inc.",3,32700
"Tdaf Remarketing/Capital One Certified Inc",2,32700
"D3 Wholesale Llc",3,32700
"Automotive Finance Center Inc",1,32600
"Caparra Auto Y/O Oriental Bank",1,32600
"Pro Cars",5,32600
"Meggs Ford Inc",2,32600
"Thunder Road Automotive Llc.",2,32600
"Pa Distributor",3,32600
"Prime Source Credit Union",3,32600
"Florida Farm Bureau Insurance Agency",2,32600
"Don Moore Toyota",2,32600
"Remarketing By Ge/Honda Federal Credit Union",7,32550
"Mike Finnin Motors Inc",2,32500
"L A Auto Sales Inc",2,32500
"Jay Bennett Automotive Llc",1,32500
"Jim Glover Chevrolet",1,32500
"Pinnacle Automotive Gallery Llc",2,32500
"Bashir & Son Inc",1,32500
"Jefferson Bank Leasing Service Division",1,32500
"Thurston Auto Sales",1,32500
"Bob Boyte Honda",2,32500
"Tamiami Hyundai Mitsubishi",2,32500
"South Florida Education Fcu",5,32500
"Hamer Toyota",1,32500
"Tanskys Sawmill Toyota Inc",9,32475
"Auto Advance Of America",13,32450
"Frank Boucher Mazda Vw Kia",5,32425
"Mtk Auto",2,32400
"Seasons Fcu",2,32400
"Tri State Leasing Inc",2,32400
"Primeritus Remarketing/Sar Enterprises",5,32400
"Magnum Auto Sales And Service Llc",3,32400
"Atlantic Coast Remarketing/Tpllc",4,32400
"Houston Premium Motorcars",3,32400
"Elite Motors Llc",1,32300
"Super Deal Motors",1,32300
"Dossett Gmc Cadillac Inc",1,32300
"Bmw Financial Services P/U's",1,32250
"Viva Auto Sales Llc",1,32250
"D Acquisto Motors",3,32200
"International Autoplex Inc",2,32200
"Motorcars Of Distinction Inc",1,32200
"Exotic Auto Mall Inc",2,32200
"Lou Fusz Mitsubishi St Peters",5,32100
"Mcconnell Automotive Corp",2,32100
"Alexander Dodge Chrysler Jeep Inc",1,32100
"Manheim Lakeland",4,32100
"Carls Buick Gmc",3,32100
"Larry H Miller Chevrolet",2,32100
"Remarketing By Ge/Buckeye State Credit Union",2,32100
"Rj Pickup & Accessories Inc",2,32000
"Marino Chrysler Jeep Dodge",1,32000
"Klute Truck Equipment",1,32000
"Paul Miller Subaru",1,32000
"D J S Auto Sales",1,32000
"Toyota West",9,31975
"A And A Auto Mart Inc",2,31950
"Holly Automotive",6,31950
Swbc,3,31900
"Smith Gray Buick Gmc Inc",4,31900
"Platinum Car Brokers Llc",1,31900
"Walser Leasing & Fleet Services",3,31900
"Reed Lallier Chevrolet",5,31800
"Primeritus Remarketing/Police Fcu",2,31800
"Remarketing By Ge/Power Financial Credit Union",3,31800
"Cars 2 Credit",4,31800
"1st Commercial",2,31800
"Highway Motors Inc",3,31800
"The Auto Site Inc",7,31800
"Manheim Denver",2,31750
"Lafontaine Chrysler Dodge Jeep",9,31750
"Land Rover Rocklin",1,31750
"Momentum Volkswagen",1,31750
"Jack Key Nissan",4,31700
"Roby Cars Corporation",4,31650
"Repo Remarketing / Southwest Airlines Fcu",4,31600
"Southland Automotive Group Llc",1,31600
"Mcgoldrick Leasing Inc",3,31600
"Red Canoe Credit Union",2,31600
"Fierge Auto Sales",3,31550
"Lts Nationwide",2,31500
"Onemain Rem/Three Brothers Auto Sales",2,31500
"Altoona Honda",2,31500
"Majesty Auto Sales Corp",1,31500
"Rapid Auto Sales Inc",1,31500
"Autos Of Dallas",1,31500
"Jackson's Auto Mart Inc",7,31500
"Jl Auto Sales Corp",3,31500
"Magnum Motors",5,31450
"Tri Boro Fcu",5,31400
"Pathways Financial Credit Union",2,31400
"Auto Finance Center",3,31400
"Napleton's North Palm Lincoln",2,31400
"Onemain Rem/Emperor Motors Llc",4,31350
"Repo Remarketing/Sesloc Fcu",3,31300
"Honda Of Chantilly",2,31300
"Don Wessel Oldsmobile Honda",2,31300
"Bentley Tysons",1,31300
"Nationwide Imports",3,31250
"Small Town Auto Sales",1,31250
"Best Wheels Imports Llc",8,31200
"Route 22 Nissan Inc",4,31200
"Florida Auto Sales & Leasing Inc",3,31200
"Main Line Honda",3,31200
"Blaise Alexander Chevrolet Buick Inc",2,31200
"Robins Fcu",2,31200
"Remarketing By Ge/Manheim Statesville",3,31195
"Members Auto Brokerage Service Inc",6,31100
"The Car Lot Of Leon County Inc",2,31100
"Auto Unlimited Inc",2,31100
"Southern Cascade Finance",3,31100
"Lou Bachrodt Chevrolet",2,31100
"1st Source Bank",5,31100
"Day Ford Inc",2,31050
"Autonation Nissan Arapahoe",2,31050
"Honda Of Downtown Los Angeles",3,31050
"Primeritus Remarketing / Trugrocer Fcu",1,31000
"Carlock Nissan Of Tupelo Inc",2,31000
"Aek Auto Dealer",2,31000
"John Bleakley Ford Inc",3,31000
"Key Scales Ford Inc",2,31000
"Bdhc Inc",2,31000
"Texas Auto Center Llc",1,31000
"Remarketing By Ge/First Alliance Credit Union",3,31000
"Auto South Inc",2,31000
"River City Fcu",3,31000
"Capistrano Car Co",2,31000
"Remarketing By Ge/Collateral Solutions",3,31000
"Fidelity Motors",1,31000
"Auto Premier Sales Inc",1,31000
"Bay Automotive Corporation",2,31000
"Verc Car Rental",3,30950
"Repo Remarketing/Fresno County Fcu",2,30950
"F & J Auto Brokers Inc",2,30900
"Manheim Caribbean",4,30900
"On Track Auto Mall Inc",1,30900
"Villa Auto Sales",2,30900
"Lithia Chrysler Dodge Of Eureka",4,30900
"Lake Powell Car Rental Co Dba Avis Rent A Car",3,30900
"Volkswagen Of Tacoma",7,30850
"Southern American Lease Corp",2,30800
"Pacific Auto Resellers",2,30800
"Valone Ford Lincoln Inc",1,30800
"I -5 Uhlmann Rv",1,30800
"Onesource/Rick Hendrick Toyota Scion",1,30800
"Top Auto",4,30800
"Dream Cars 4 U Llc",2,30800
"Avondale Mazda",2,30800
"Pioneer Bank",8,30750
"Autonation Cadillac Port Richey",10,30700
"David Maus Volkswagen",4,30700
"Mountain States Toyota And Scion",4,30700
"Credit Acceptance Corp/Inop/Southfield",4,30700
"Best Quality Auto Sls Corp",3,30700
"Sarasota Ford",2,30700
"Kraft Nissan",1,30700
"Universal Auto",3,30600
"First Reliance Bank",2,30600
"Glesby Mark Leasing",3,30600
"Avis Tra",2,30600
"Affordable Loans Llc",3,30600
"Credit Union One",2,30600
"Amans Auto Field Inc",3,30600
"Russ Darrow Leasing Company Inc",3,30600
"Strider Buick Gmc Subaru",1,30600
"Flag/Audi Fort Myers",1,30600
"Lifetime Auto Sales And Service Inc",1,30500
"Camacho Mitsubishi",7,30500
"Haps Auto Sales Inc",2,30500
"Wheels & Deals",5,30500
"America's Finance Group",4,30500
"Vin Devers Inc",1,30500
"Uncle Maxs Auto Sales & Leasing",2,30450
"Heiser Chevrolet Inc",5,30450
"Bmw Of Warwick",4,30400
"Autonation Nissan Marietta",12,30400
"Direct Sales And Leasing",2,30400
"Shults Nissan Subaru",2,30400
"Primeritus Remarketing/Lai",4,30400
"Lendmark Financial Services/Covington",11,30400
"Rhinebeck Ford Inc",5,30350
"Bass Auto",3,30350
"Auto Haus On Velp Inc",2,30300
"Prestige Auto Sales And Rentals",3,30300
"A Line Auto Wholesale",4,30300
"Cars & Trucks",4,30300
"Capitol Dealerships Inc",3,30250
"Gilboy Automotive Group",2,30200
"Beaumont Management Co Llc",1,30200
"Faulkner Dodge Ram",6,30200
"Auto Link",2,30200
"Premier Motors Llc",2,30200
"Onemain Rem/Nationwide Remarketing",5,30200
"Stevinson Lexus Of Frederick",1,30200
"Cpr Auto Sales & Finance",1,30100
"Superior Credit Union",6,30100
"Cbs Mitsubishi Durham",11,30100
"Mid Town Auto Sales Inc",3,30100
"Terry Labonte Chevrolet",1,30100
"Fomoco Corp",2,30100
"Hughes Honda",6,30100
Autobahnd,1,30000
"Liberty Subaru Inc",3,30000
"Union Volkswagen",1,30000
"Palmen Motors Inc",4,30000
"Laird Noller Ford Inc",1,30000
"New York Autosports Inc.",1,30000
"L & L Motor Company Inc",1,30000
"Consumer Auto Liquidators",2,30000
"Flag/Platinum Motor Cars",1,30000
"Bird Chevrolet Company",1,30000
"Greenville Auto Sales",2,30000
"United Motors Sales",1,30000
"Moss Motor Company Inc",1,30000
"Moore-stewart Honda",1,30000
"Robbins Motor Sports Llc",1,30000
"C A P Auto Sales Inc",1,30000
"R L M B Inc",6,29950
"Phoenix Rsng Corporation",1,29900
"Eastside Collateral",2,29900
"K C Summers Nissan Mazda",2,29900
"Shawnee Mission Hyundai",2,29900
"Intermarkets Trading Co",3,29900
"The Parshay Group Inc",7,29900
"Michigan Schools And Government Credit Union",4,29900
"Rw Motors Llc",2,29900
"Robert Chevrolet Inc",1,29900
"Primeritus Remareting/Pee Dee Auto Buyers",2,29900
Carhop,35,29850
"Faa Employees Credit Union",4,29850
"Top Finance Company Inc.",3,29800
"Deter Motor Company",1,29800
"Crystal Chevrolet",1,29800
"Auto Fleet",3,29800
"Koons Lexus Of Wilmington",1,29750
"Fletcher Jones Motorcars",1,29750
"Camex Auto Sale",2,29750
"Hi Class Auto Sales Inc",2,29700
Kenco,2,29700
"Gorges Volvo",5,29700
"Xclusive Ato Sls & Lsng Inc",1,29700
"A/K Auto Sales",1,29700
"Midway Automotive Corp.",11,29600
"Big H Auto Mart",3,29600
Fiserv/Snaac,3,29600
"Burns Chevrolet Cadillac Inc",3,29600
"Avon Equipment Leasing",4,29600
"A1 Plus Auto Center",3,29600
"Auto Credit Acceptance",4,29600
"Roger Beasley Volvo Of Georgetown",1,29500
"Infiniti Of Dayton",1,29500
"Utah Used Car Sales",1,29500
"Long Beach Bmw & Long Beach Mini",2,29500
"Webb Chevrolet Plainfield Inc",2,29500
"Tinker Credit Union",3,29500
"Don Rosen Imports",2,29500
"Tower West Livery Center Llc",4,29450
"South Shore Bmw Mini",1,29400
"Reddell Honda",2,29400
"Spanos Imports",2,29400
"Import Specialists",1,29400
"Intercorp Holdings Llc",2,29400
"Dicicco Auto Sales",1,29300
"Fred Beans Nissan Of Doylestown",2,29300
"Tj Auto",2,29300
"Chevrolet Buick Gmc Cadillac Of Murfreesboro",2,29300
"River Region Credit Union",3,29300
"Schukei Chevrolet Inc",2,29300
"Rp Auto Sales Inc",3,29300
"Sam Swope Fiat",2,29300
"Rays Wholesale Auto Sales Llc",5,29250
"New Market Auto",1,29250
"Stevens Creek Auto Imports",1,29250
"Mariner Finance Llc/Baltimore",7,29200
"R & L Auto Wholesale",3,29200
"Le Bo Auto Brokers",1,29200
"Ft Trade Financial Dba Ft Acceptance Corporation",5,29200
"Mt Moriah Auto Sales Inc",1,29200
"Watson Chevrolet",3,29200
"Chambersburg Affordable Auto Sales Llc",5,29100
"Zmax Moto Leasing Inc",5,29100
"Lou Fusz Motor Co Of Kirkwood Inc",2,29100
"Fuccillo Nissan Of Latham",3,29100
"Breckenridge Motors East Llc",2,29100
"Sterling Auto Sales",1,29100
"Primeritus Remarketing/American Eagle Fcu",4,29050
"Heritage Acceptance",19,29050
"Independent Credit Inc",12,29000
"U S Auto Mart Inc.",1,29000
"Brian Harris Bmw",2,29000
"Doxon Toyota Scion",1,29000
"J & L Auto Sales Llc",1,29000
"Midtown Auto Group",2,29000
"Brads Auto Sales",1,29000
"Alternative Financial Group Inc",1,29000
"United Autoland Inc",5,29000
"Pacific Cascade Fcu",2,29000
"Gastonia Chrysler Jeep Dodge Ram",2,28900
"Rhode Auto Sales",4,28900
"First Cheyenne Fcu",2,28900
"Blue Diamond Auto Sales Corp 1",3,28900
"Division 1 Auto Brokers Inc",2,28800
"Avner Corporation",3,28800
"Oxmoor Toyota",2,28800
"Caguax Auto Sales",1,28800
"L & H Used Cars Of Wilmington Inc",4,28800
"Oars Fleet Lease Llc",1,28800
"Bill Kolb Jr Subaru Inc",4,28800
"V & M Auto Wholesale Inc",5,28800
"Priced Right Cars Inc",2,28800
"Dave Riddle Wholesale",1,28800
"A & L Auto Sales Llc",1,28800
"Show Me Auto Mall Inc",1,28800
"Moss Bros Toyota",1,28750
"A G Auto Sales",2,28750
"Puente Hills Mitsubishi",1,28750
"Colorado Chrysler Jeep",5,28750
"Oscar Traders Inc",1,28750
"Troys Auto & Cycle Sport",1,28750
"Sterling Import Motors Lp",1,28750
"Dreamauto Inc",1,28750
"Shadlows Auto Sales & Brokerage",3,28700
"Carnes Motor Co Inc",1,28700
"Metro Auto Sales",4,28700
"Tom Ahl Chrysler Dodge Inc",1,28700
"Kia Of Dayton",2,28700
"Miracle Toyota",2,28700
"Decatur Transit Inc",1,28700
"Bv Automotive Llc",2,28700
"Family Auto Center",1,28700
"Onemain Rem/Jalisco Auto Sales",6,28700
"Sterling Mccall Nissan",4,28600
"Everett Nissan",1,28600
"Brandon Financial Inc",2,28600
"Nissan Dealer Blend/Airport Infiniti",1,28600
"Now Auto Sales Inc",2,28600
"Legacy Toyota Of Tallahassee",3,28550
"Don Larson Chev Buick Cad Gmc",2,28500
"Hoss's Auto Sales",1,28500
"Manhattan Beach Toyota",2,28500
"Wtb Auto Llc",1,28500
"Unlimited Automotive Wholesalers",1,28500
"Affordable Autos",3,28500
"Remarketing By Ge/National Auto Remarketing",5,28500
"Fairchild Wholesale",1,28500
"Westside Auto Imports",1,28500
"Dfw Audi",1,28500
"Audi Escondido",3,28450
"Remarketing By Ge/Pacific Marine Credit Union",5,28400
"Crest Motors",4,28400
"Andrey's Auto Repair Corp",2,28400
"Import Exchange Limited",3,28400
"Tampa Honda",3,28400
"Condemi Motor Company",3,28400
"Smart Honda",1,28400
"Rosen Nissan Inc",2,28400
"L & K Enterprises",2,28400
"Onemain Rem/Regional Management Corp",2,28400
"Resources For Human Development",8,28350
"K B Motors Inc",1,28300
"National Remarketing",2,28300
"Wilson County Motors Llc",2,28300
"On The Road Again",1,28200
"Jb Motors & Sons Llc",2,28200
"Sun Motor Cars Bmw",1,28200
"Ruda Chevrolet Toyota",1,28200
"Chevrolake Motorcars (2002) Inc",1,28200
"Euromotive Llc",1,28200
"The Truck Junction Inc",1,28200
"Amigo Auto Sales Inc",6,28200
"Auto Equity Loans Of De Llc",12,28150
"Primeritus Remarketing/Gas",14,28100
"Dominion Credit Union",2,28100
"Apple Chevrolet Inc",1,28100
"Morries Minnetonka Ford",5,28100
"Ichy Auto Sales",4,28100
"Zeigler Honda Amherst",10,28100
"Onemain Rem/Nationwide Auto Sale Llc",1,28100
"Prestige Toyota",3,28100
"Key Finance",3,28100
"Ford Lincoln Of Cookeville",2,28100
"Fields Jeep Inc",1,28100
"Nissan Of Cookeville",6,28050
"Millenium Auto Sales",6,28000
"Pawtucket Credit Union",2,28000
"South Regional Financial Llc",1,28000
"Auto Iq Inc",1,28000
"Loop Auto Sales And Service Llc",1,28000
"Mercedes Benz Of Cincinnati Llc",1,28000
"Bayamon Car Rental",2,28000
"Dynamite Auto Sales Inc",1,28000
"Marken Ventures Inc",4,28000
"Ann Arbor Acura Hyundai",1,28000
"Suburban Chevrolet Cadillac Saab Hummer",3,28000
"Budget Hanover/Evan's Service Centre",2,28000
"Best Deals Auto Center",1,28000
"Mid-tenn Ford Truck Sales Inc.",1,28000
"Prime Auto Direct",3,28000
"Idrive Utah",1,28000
"Royal Rent A Car Systems",1,28000
"Easy Acceptance",10,27950
"Trade Motors Sales Corp",2,27900
"Apex Auto Wholesalers/Apex Auto Lease",1,27900
"Germain Lexus Of Easton",1,27900
"Luther Ford Lincoln",1,27900
"Classic Volkswagen",1,27900
"Alexander Subaru Inc",3,27900
"Hi Country Buick Gmc",1,27800
"Boyd Automotive",1,27800
"Kobza Motors Inc",1,27800
"Kirtland Fcu",2,27800
"Onesource/Jeff Smith Volkswagen Of Warner Robins",1,27800
"Auto Center Of America Inc",1,27800
"Repo Remarketing/Sierra Central Credit Union",3,27800
"Lake Chevrolet",1,27750
"Gulliver East Inc",1,27750
"Remarketing By Ge/Riverside Remarketing Group",3,27750
"Ln Auto Center Inc",1,27750
"Aunlimited Inc",5,27700
"Heiser Toyota",4,27700
"Auto Showcase Of Hickory.com Llc",3,27700
"Hidy Ford",2,27700
"Halfmoon Trading Corp",1,27700
"San Luis Bay Motors Inc",13,27700
"Hardie's Used Cars Llc",1,27700
"Premier Chry Jeep Dge Ram Of W Covina",2,27650
"Capital Finance Loans Llc",9,27650
"Madera Chevrolet Oldsmobile Toyota",2,27650
"Sti Fleet Corp",3,27650
"La Auto House",2,27625
"Remarketing By Ge/So Star Central Gas Pipeline",3,27600
"Stone Mountain Toyota & Scion",5,27600
"Repo Remarketing/Arizona Auto Lenders",3,27600
"Haley Toyota Of Richmond Certified Center",2,27600
"Freedom Ford",2,27600
"Rpm Motors",1,27600
"Keyser And Miller Ford Inc",1,27600
"Sawyer Motors",2,27600
"Gateway Subaru Llc",9,27600
"Motors Acceptance Corporation",14,27550
"Auto Now Financial",11,27500
"Kugman Inc",1,27500
"Murdock Hyundai Murray Llc",1,27500
Leaseway,1,27500
"Fast Life Llc",1,27500
"Mk Auto Sales",2,27500
"Smiths Auto Sales",3,27500
"Crossroad Motors",1,27500
"Platinum Auto",1,27500
"Rochester Ford",1,27500
"Michigan Community Credit Union",1,27500
"Inver Grove Hyundai",4,27450
"Dewey Ford",2,27400
"Citizens Finance/Crystal Lake",7,27400
"Poway Honda",6,27400
"Central Florida Sales & Leasing",2,27400
"Car Financial Services Inc",14,27350
"Honda Of Princeton",3,27300
"New Century Auto",2,27300
"Greene Way Motors Inc",3,27300
"Automatic Car Credit Inc.",2,27300
"Broadway Chevrolet Volkswagen Saab",1,27300
"Choice Auto Llc",2,27300
"Fancher Sales Llc",1,27250
"Airport Mini Of Cleveland",1,27250
"Burnsville Volkswagen Inc",1,27250
"Toyota Of Pasadena",1,27250
"Wright Way Hyundai",1,27250
"Bmw Of Visalia",1,27250
"Autonation Nissan Dallas",6,27225
"Automatic Finance",6,27200
"Fiat Of Las Vegas",2,27200
"M & M Auto Brokers Inc",2,27200
"Certified Auto Llc",2,27200
"Manheim Texas Hobby",2,27200
"Onemain Rem/Express Credit Inc",5,27200
"Basil Toyota",3,27200
"Walts Auto Brokers Inc",2,27200
"Jcn Inc Auto Sales",2,27200
"Frontier Honda Ltd",2,27200
"Auto Connections Of Bellevue",1,27200
"Curry Hyundai Subaru",1,27200
"Abc Remarketing Inc",3,27200
"Primeritus Remarketing/Overseas Military Car",2,27200
"Par North America/Alaska Usa Fcu",2,27200
"Central National Bank",2,27100
"Bmw Of The Hudson Valley",2,27100
"Coastal Credit Llc / Centennial / Centennial",5,27100
"Onemain Rem/Close Leasing Systems",2,27100
"Lexus Of Louisville",1,27100
"Friendly Ford",4,27100
"Afg/State National Companies",3,27100
"Nissan Of Melbourne",1,27100
"Alan Jay Kia",2,27100
"Cosmo Motors Inc",2,27050
"Wonder Automotive Inc",4,27000
"Rock City Chrysler Jeep Dodge",2,27000
"E B Autos",1,27000
"Fred Raynor Ford",1,27000
"Simon Luxury Motorcars Ltd",1,27000
"Dtg Trade Ins",11,27000
"Dixon Ford Lincoln Mercury Llc",2,27000
"Mmco Llc",1,27000
"Flag/Proctor Automotive Inc",1,27000
"Flag/Hiley Mazda",1,27000
"Honda Of Santa Maria",2,27000
"All Makes Auto Sales Inc",3,27000
"Apollo Auto Finance Llc",2,27000
"The Right Buy Trb Auto Sales Llc",2,27000
"Palm Lincoln",1,27000
"Mansfield Motor Group",3,26950
"Ramsey Nissan Inc",3,26950
"Collateral Solutions",2,26950
"Remarketing By Ge/Membersown Credit Union",4,26900
"Outlet Recreation.com",2,26900
"Sterling Heights D-c-j",1,26900
"Noho Auto Group Inc",3,26900
"J & G Auto Sales",1,26900
"Autohaus Lancaster Inc",3,26900
"Motormax Automotive Inc",3,26900
"Autonation Nissan Jacksonville",10,26900
"Northern Auto Sales",1,26850
"Tustin Nissan",5,26850
"Remarketing By Ge/Manheim Utah",5,26815
"Battlefield Ford",5,26800
"Bel Air Nissan Subaru Inc",2,26800
"Bank Of Denver",4,26800
"Casa Nissan Inc",1,26800
"Gurley Leep Kia",2,26800
"Berstrom Pioneer Auto & Truck Leasing",1,26800
"Royal Palm Nissan",1,26800
"Husker Auto Group Llc",1,26800
"Udrive Automobiles",1,26800
"David R Mcgeorge Car Co Inc",3,26800
"Source One Adj Of Ohio Inc/Wright-patt Cu",1,26800
"Dfw Select Motorcars Llc",1,26800
"Royal Five Auto Sales Llc",1,26750
"Scottsdale Motor Company Llc",1,26750
"Lakeside Car Rental/L & S Car Rental",5,26750
"Mel's Auto",1,26750
"Hertrich Ford Lincoln Mercury",1,26750
"Carolina Auto Imports Inc",1,26700
"Freedom Automotive Group Llc",1,26700
"Toyota Motor Credit Corp/Torrance",2,26700
"Internet Auto Rent & Sales",2,26700
"Red Hoagland Hyundai Inc",2,26700
"Mun2s Auto Sales Llc",2,26700
"Keller Ford Lincoln",4,26650
"Robinson Ford Sales Inc",2,26600
